CustomerID,Gender,Age,Tenure_Months,ContractType,MonthlyCharges,InternetService,TechSupport,OnlineSecurity,PaymentMethod,Complaints,TotalCharges,Churn
CUST0001,Male,64,53,Month-to-Month,115,FiberOptic,No,Yes,Cash,No,6108,No
CUST0002,Female,29,59,Month-to-Month,107,DSL,No,No,BankTransfer,Yes,6337,Yes
CUST0003,Male,33,41,Month-to-Month,66,FiberOptic,No,Yes,BankTransfer,Yes,2625,No
CUST0004,Male,41,68,Month-to-Month,63,DSL,No,Yes,CreditCard,No,4350,No
CUST0005,Male,36,68,One-Year,28,No,Yes,Yes,CreditCard,No,1954,No
CUST0006,Female,25,8,Month-to-Month,106,FiberOptic,Yes,No,Cash,Yes,788,Yes
CUST0007,Male,48,2,Month-to-Month,69,DSL,No,Yes,EWallet,Yes,81,No
CUST0008,Male,38,41,Month-to-Month,96,FiberOptic,Yes,No,BankTransfer,No,3960,No
CUST0009,Male,34,55,Two-Year,79,DSL,No,Yes,BankTransfer,No,4279,No
CUST0010,Female,40,16,Month-to-Month,115,No,Yes,Yes,Cash,No,1890,No
CUST0011,Male,54,62,Month-to-Month,34,FiberOptic,No,No,Cash,No,2065,No
CUST0012,Male,33,48,Month-to-Month,55,DSL,No,No,BankTransfer,No,2587,Yes
CUST0013,Male,23,30,Month-to-Month,82,DSL,No,No,BankTransfer,No,2417,No
CUST0014,Male,25,12,Month-to-Month,88,DSL,No,No,CreditCard,No,1056,No
CUST0015,Female,42,35,Month-to-Month,105,No,Yes,No,EWallet,No,3631,No
CUST0016,Male,35,11,One-Year,99,DSL,No,No,BankTransfer,Yes,1155,No
CUST0017,Female,42,64,Month-to-Month,60,FiberOptic,No,No,Cash,Yes,3895,No
CUST0018,Female,29,50,One-Year,93,FiberOptic,No,No,CreditCard,No,4613,No
CUST0019,Female,32,21,Two-Year,43,No,No,No,CreditCard,Yes,864,No
CUST0020,Male,43,69,One-Year,101,DSL,Yes,No,Cash,Yes,6951,No
CUST0021,Female,58,48,Month-to-Month,68,FiberOptic,No,No,Cash,Yes,3276,Yes
CUST0022,Male,62,20,Month-to-Month,37,FiberOptic,No,Yes,CreditCard,No,751,Yes
CUST0023,Female,43,67,One-Year,26,FiberOptic,No,Yes,Cash,No,1703,No
CUST0024,Female,64,44,One-Year,23,DSL,Yes,No,CreditCard,No,1005,No
CUST0025,Female,49,33,Month-to-Month,109,DSL,No,No,Cash,No,3581,No
CUST0026,Female,27,61,One-Year,88,DSL,No,No,CreditCard,No,5293,Yes
CUST0027,Female,33,9,Month-to-Month,79,FiberOptic,Yes,Yes,BankTransfer,No,789,No
CUST0028,Female,24,68,Month-to-Month,74,DSL,No,No,BankTransfer,No,5052,Yes
CUST0029,Female,34,35,Month-to-Month,35,FiberOptic,No,Yes,Cash,Yes,1174,No
CUST0030,Female,40,65,Month-to-Month,118,DSL,No,No,EWallet,Yes,7684,Yes
CUST0031,Male,43,8,Month-to-Month,109,FiberOptic,No,Yes,BankTransfer,Yes,807,No
CUST0032,Male,38,45,One-Year,101,No,No,No,CreditCard,Yes,4598,No
CUST0033,Female,39,47,Month-to-Month,48,FiberOptic,No,No,EWallet,No,2188,No
CUST0034,Female,24,40,Month-to-Month,42,DSL,No,Yes,CreditCard,No,1702,No
CUST0035,Female,31,54,Month-to-Month,33,DSL,Yes,No,CreditCard,No,1781,No
CUST0036,Male,32,46,Month-to-Month,98,DSL,No,No,BankTransfer,No,4475,Yes
CUST0037,Female,24,47,Month-to-Month,68,DSL,No,Yes,Cash,No,3168,No
CUST0038,Male,26,15,One-Year,52,FiberOptic,No,No,Cash,No,815,No
CUST0039,Male,68,19,One-Year,44,FiberOptic,No,No,CreditCard,No,929,Yes
CUST0040,Male,65,26,One-Year,40,No,No,No,BankTransfer,No,962,No
CUST0041,Male,25,52,One-Year,36,DSL,No,Yes,CreditCard,Yes,1841,No
CUST0042,Male,67,22,Month-to-Month,42,FiberOptic,No,No,EWallet,Yes,878,Yes
CUST0043,Female,40,21,Month-to-Month,76,FiberOptic,No,No,CreditCard,No,1666,Yes
